place_id,name,address,lat,lng,rating,review_count,business_status,types,search_term,city,keep
ChIJ0Ss-9yPP-4YRA3J5ta9-VD0,Altitude Trampoline Park,"5161 E 42nd St, Odessa, TX 79762, USA",31.8955497,-102.3289413,4.4,1025,OPERATIONAL,"sports_activity_location, point_of_interest, establishment",altitude trampoline Texas,Odessa,TRUE
ChIJTXT5CRApTIYR_N_fnOPRGPo,Ground Control Trampoline Park,"2000 Market Pl Blvd, Irving, TX 75063, USA",32.921408899999996,-96.9725059,4.4,442,OPERATIONAL,"adventure_sports_center, playground, amusement_center, sports_complex, gym, sports_activity_location, health, government_office, point_of_interest, establishment",ground control trampoline Texas,Irving,TRUE
ChIJTahaunxDXIYRS6Q4kYkkBU0,Ground Control Trampoline Park San Antonio,"9870 Marbach Rd, San Antonio, TX 78245, USA",29.417305900000002,-98.6850128,4.4,819,OPERATIONAL,"amusement_center, fitness_center, adventure_sports_center, playground, sports_complex, gym, sports_activity_location, health, government_office, point_of_interest, establishment",ground control trampoline Texas,San Antonio,TRUE
ChIJD1Fo4u2LXIYRaiES9mdVi3U,Airtopia Adventure Park - San Antonio,"16628 San Pedro Ave, San Antonio, TX 78232, USA",29.5929851,-98.4703063,4.2,1321,OPERATIONAL,"amusement_park, playground, amusement_center, event_venue, adventure_sports_center, sports_complex, sports_activity_location, point_of_interest, establishment",airtopia adventure park Texas,San Antonio,TRUE
ChIJHalttQE8TIYR5ESUD0a6F4o,Pump It Up Frisco Kids Birthdays and More,"7164 Technology Dr #200, Frisco, TX 75033, USA",33.15969,-96.831626,4.2,520,OPERATIONAL,"amusement_center, point_of_interest, establishment",pump it up Texas,Frisco,FALSE
ChIJn4lK_GuRToYRZUq9BdSDuJQ,Pump It Up South Dallas County Kids Birthdays and More,"9110 Autobahn Dr #120, Dallas, TX 75237, USA",32.6383213,-96.8615001,3.9,492,OPERATIONAL,"amusement_center, event_venue, point_of_interest, establishment",pump it up Texas,Dallas,FALSE
ChIJfbQPVUliToYRB2v7CXxnOq0,Pump It Up Arlington Kids Birthdays and More,"1120 Eden Rd #102, Arlington, TX 76001, USA",32.6332989,-97.1323689,4.3,870,OPERATIONAL,"amusement_center, event_venue, point_of_interest, establishment",pump it up Texas,Arlington,FALSE
ChIJ-ekuYrjnQIYRTkaJgyTuigI,Pump It Up Sugar Land Kids Birthdays and More,"11325 Fountain Lake Dr, Stafford, TX 77477, USA",29.639910999999998,-95.5838217,4.3,513,OPERATIONAL,"amusement_center, childrens_camp, playground, event_venue, point_of_interest, establishment",pump it up Texas,Stafford,FALSE
ChIJ-_odk6GcQIYR5uXzQOx4XaU,Pump It Up Webster Kids Birthdays and More,"310 Genesis Blvd, Webster, TX 77598, USA",29.527256899999998,-95.1353973,4.5,540,OPERATIONAL,"amusement_center, event_venue, point_of_interest, establishment",pump it up Texas,Webster,FALSE
ChIJQxpEnO1nXIYRas_1KtsDBbE,Pump It Up San Antonio NW Kids Birthdays and More,"7723 Guilbeau Rd #102, San Antonio, TX 78250, USA",29.520384200000002,-98.6416142,3.9,549,OPERATIONAL,"amusement_center, event_venue, point_of_interest, establishment",pump it up Texas,San Antonio,FALSE
